latitude,longitude,treeid,name,groupuni,groupclust,cluster,strategy,d1,d2,d3,d4,d5
52.359848000,4.951894000,64,T064,,4d,1,4d,0,0,0,1,0
52.359709000,4.951894000,65,T065,,4b,1,4b,0,1,0,0,0
52.359650000,4.951925000,66,T066,,4a,1,4a,1,0,0,0,0
52.359609000,4.952045000,67,T067, ,4b,1,4b,0,1,0,0,0
52.359546000,4.952013000,68,T068, ,3b,1,3b,0,0,1,1,0
52.359597000,4.952400000,69,T069,,4a,1,4a,1,0,0,0,0
52.359509000,4.952431000,70,T070,,4b,1,4b,0,1,0,0,0
52.359557000,4.952622000,71,T071,,4e,1,4e,0,0,0,0,1
52.359556000,4.952730000,72,T072,,4c,1,4c,0,0,1,0,0
52.359501000,4.952678000,73,T073,2b,2b,1,2b,0,1,0,1,0
52.359361000,4.952553000,74,T074,,4d,1,4d,0,0,0,1,0
52.359268000,4.952588000,75,T075,1,1,1,1,1,1,1,1,1
52.359248000,4.952667000,76,T076,,4d,1,4d,0,0,0,1,0
52.359132000,4.952473000,77,T077,,3b,1,3b,0,0,1,1,0
52.359069000,4.952401000,78,T078,,4c,1,4c,0,0,1,0,0
52.359156000,4.952335000,79,T079,,3a,1,3a,1,1,0,0,0
52.359179000,4.952200000,80,T080,2a,2a,1,2a,1,0,1,0,1
52.359326000,4.952038000,81,T081,2a,2a,1,2a,1,0,1,0,1
52.359792000,4.952399000,138,T138,2b,2b,1,2b,0,1,0,1,0
52.359783000,4.952448000,139,T139,,3b,1,3b,0,0,1,1,0
52.359825000,4.952364000,140,T140,1,1,1,1,1,1,1,1,1
52.359819000,4.952137000,141,T141,,3a,1,3a,1,1,0,0,0
52.359883000,4.952165000,142,T142,,4c,1,4c,0,0,1,0,0
52.359897000,4.951970000,143,T143, ,4e,1,4e,0,0,0,0,1
52.359980000,4.952082000,144,T144, ,,1,0,0,0,0,0,0
52.358883000,4.949587000,89,T089,1,1,2,1,1,1,1,1,1
52.358872000,4.949393000,90,T090, ,4b,2,4b,0,1,0,0,0
52.358618000,4.948512000,99,T099,2b,2b,2,2b,0,1,0,1,0
52.358615000,4.948601000,100,T100,,4c,2,4c,0,0,1,0,0
52.358534000,4.948697000,101,T101,,4a,2,4a,1,0,0,0,0
52.358508000,4.948859000,102,T102,,4a,2,4a,1,0,0,0,0
52.358475000,4.948994000,103,T103,,3a,2,3a,1,1,0,0,0
52.358490000,4.949219000,104,T104,2a,2a,2,2a,1,0,1,0,1
52.358563000,4.949287000,105,T105,2a,2a,2,2a,1,0,1,0,1
52.358578000,4.949506000,106,T106,,4c,2,4c,0,0,1,0,0
52.358557000,4.949622000,107,T107,,3a,2,3a,1,1,0,0,0
52.358577000,4.949713000,108,T108,2b,2b,2,2b,0,1,0,1,0
52.358714000,4.949672000,109,T109,,3b,2,3b,0,0,1,1,0
52.358753000,4.949760000,110,T110,,4b,2,4b,0,1,0,0,0
52.358542000,4.950116000,111,T111,,4c,2,4c,0,0,1,0,0
52.358410000,4.950218000,112,T112,1,1,2,1,1,1,1,1,1
52.358466000,4.950357000,113,T113,,4d,2,4d,0,0,0,1,0
52.358571000,4.950453000,114,T114,2b,2b,2,2b,0,1,0,1,0
52.358708000,4.950337000,115,T115,,3b,2,3b,0,0,1,1,0
52.358811000,4.950218000,116,T116,,4d,2,4d,0,0,0,1,0
52.358510000,4.948228000,199,T199,2a,2a,2,2a,1,0,1,0,1
52.359741000,4.948029000,5,T005,,4d,3,4d,0,0,0,1,0
52.360033000,4.948130000,6,T006,2b,2b,3,2b,0,1,0,1,0
52.360090000,4.948132000,7,T007,,3b,3,3b,0,0,1,1,0
52.360590000,4.948179000,8,T008,,4b,3,4b,0,1,0,0,0
52.360750000,4.948153000,9,T009,,4c,3,4c,0,0,1,0,0
52.360775000,4.948261000,10,T010,,4c,3,4c,0,0,1,0,0
52.361104000,4.948251000,11,T011,,4b,3,4b,0,1,0,0,0
52.361111000,4.948330000,12,T012,1,1,3,1,1,1,1,1,1
52.361173000,4.948251000,13,T013,,3a,3,3a,1,1,0,0,0
52.361196000,4.948293000,168,T168,,4b,3,4b,0,1,0,0,0
52.361193000,4.948267000,169,T169,1,1,3,1,1,1,1,1,1
52.361166000,4.948338000,170,T170,2a,2a,3,2a,1,0,1,0,1
52.361064000,4.948203000,171,T171, ,4d,3,4d,0,0,0,1,0
52.361003000,4.948183000,172,T172,,4a,3,4a,1,0,0,0,0
52.360780000,4.948294000,173,T173,,4e,3,4e,0,0,0,0,1
52.360380000,4.948180000,174,T174,,4d,3,4d,0,0,0,1,0
52.360331000,4.948146000,175,T175,,3a,3,3a,1,1,0,0,0
52.360219000,4.947998000,176,T176,,3b,3,3b,0,0,1,1,0
52.360147000,4.948148000,177,T177,,4c,3,4c,0,0,1,0,0
52.360113000,4.947982000,178,T178,,3b,3,3b,0,0,1,1,0
52.360018000,4.948134000,179,T179,,4a,3,4a,1,0,0,0,0
52.359878000,4.947994000,180,T180,,3a,3,3a,1,1,0,0,0
52.359884000,4.947896000,181,T181,2a,2a,3,2a,1,0,1,0,1
52.359848000,4.947902000,182,T182,,4a,3,4a,1,0,0,0,0
52.359597000,4.948084000,183,T183,2a,2a,3,2a,1,0,1,0,1
52.359574000,4.948138000,184,T184,2b,2b,3,2b,0,1,0,1,0
52.361766000,4.948806000,18,T018,1,1,4,1,1,1,1,1,1
52.362055000,4.949003000,19,T019, ,4c,4,4c,0,0,1,0,0
52.362022000,4.949242000,20,T020,,4a,4,4a,1,0,0,0,0
52.361961000,4.949394000,21,T021,2b,2b,4,2b,0,1,0,1,0
52.361809000,4.949641000,22,T022,2a,2a,4,2a,1,0,1,0,1
52.361606000,4.949773000,23,T023,,4b,4,4b,0,1,0,0,0
52.361497000,4.949752000,24,T024,2a,2a,4,2a,1,0,1,0,1
